family,group,module,metric_name,zone,side,views,source_spaces,scope,status,catalog_role,function_template,notes
F_brow,brow_lid,brow_lid.py,L_brow_lid_depth_gap_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,L_brow_lid_vertical_gap_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,L_brow_overhang_proxy,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_eye_socket_bowl_depth,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_gonion_to_chin_curve_sharpness,chin,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_jaw_depth_span_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_jawline_arc_length_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,L_lid_surface_curvature,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,L_lower_lid_arc_length,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_malar_peak_depth_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_malar_peak_height_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_ramus_height_proxy_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_submalar_hollow_proxy,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_temporal_concavity_proxy,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_temporal_edge_cliff_index,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_temporal_to_orbit_depth_gradient,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_temporal_to_zygoma_step_ratio,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,L_upper_lid_arc_length,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,L_visible_opening_fraction,face,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,R_brow_lid_depth_gap_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,R_brow_lid_vertical_gap_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,R_brow_overhang_proxy,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_eye_socket_bowl_depth,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_gonion_to_chin_curve_sharpness,chin,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_jaw_depth_span_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_jawline_arc_length_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,R_lid_surface_curvature,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,R_lower_lid_arc_length,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_malar_peak_depth_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_malar_peak_height_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_ramus_height_proxy_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_submalar_hollow_proxy,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_temporal_concavity_proxy,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_temporal_edge_cliff_index,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_temporal_to_orbit_depth_gradient,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
