2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | Log file: /Users/victorkhudyakov/deeputin/data/storage/main/deeputin_20260713_124444.log
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | ============================================================
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | DEEPUTIN Forensic Pipeline
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | ============================================================
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | Stages: S1: Extract + Metrics, S2: Identity
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | Main input: /Users/victorkhudyakov/deeputin/data/photo/all
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | Main output: /Users/victorkhudyakov/deeputin/data/storage/main
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | 
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | ── S1: Extract + Metrics ──
2026-07-13 12:44:44 | INFO       | deeputin.pipeline              | Processing main dataset (0 photos)...
2026-07-13 12:44:47 | WARNING    | deeputin.s1_extraction         | No photos found for S1 in /Users/victorkhudyakov/deeputin/data/photo/all
2026-07-13 12:44:47 | INFO       | deeputin.pipeline              | Processing calibration dataset (0 photos)...
2026-07-13 12:44:48 | WARNING    | deeputin.s1_extraction         | No photos found for S1 in /Users/victorkhudyakov/deeputin/data/photo/calibration
2026-07-13 12:44:48 | SUCCESS    | deeputin.pipeline              | S1 complete: 0 main + 0 calibration photos
2026-07-13 12:44:48 | INFO       | deeputin.pipeline              | ── S2: Identity ──
2026-07-13 12:44:48 | WARNING    | deeputin.s2_identity           | Нет calibration stage2 записей в /Users/victorkhudyakov/deeputin/data/storage/calibration
2026-07-13 12:44:48 | WARNING    | deeputin.pipeline              | S2: calibration reference could not be built
2026-07-13 12:44:48 | ERROR      | deeputin.pipeline              | FATAL: No main photos were successfully processed
2026-07-13 12:44:48 | INFO       | deeputin.pipeline              | 
2026-07-13 12:44:48 | INFO       | deeputin.pipeline              | ============================================================
2026-07-13 12:44:48 | ERROR      | deeputin.pipeline              | Pipeline completed with 1 errors in 0m04s
2026-07-13 12:44:48 | INFO       | deeputin.pipeline              | ============================================================
